problem,obs,metric,scores,real_goal,pred_goal,correct,correct_num
output/hanoi_gr8/,0.5,MaxUtil,"[-0.09601593245695982, -0.09601593245695982, -2.8691655652516454e-06, -3.3117988134990973e-06]",0,1,False,0
output/hanoi_gr8/,0.5,DP,"[-8, -8, 0, 0]",0,1,False,0
output/hanoi_gr8/,0.5,KL,"[0.5316530915223474, 0.5316530915241988, 2.181828593012859, 9.964320031952756]",0,0,True,1
output/hanoi_gr8/,0.5,KL2,"[0.5315399064235793, 0.5315399064254305, 0.818113360878017, 9.963821906633083]",0,0,True,1
output/hanoi_gr8/,0.7,MaxUtil,"[-1.6291696998809586, -0.35701129410773424, -2.197927136323008e-06, -3.2000223075391195e-06]",0,0,True,1
output/hanoi_gr8/,0.7,DP,"[-11, -8, 0, 0]",0,0,True,1
output/hanoi_gr8/,0.7,KL,"[0.5178040455531818, 0.8159097206391347, 14.21184375697312, 6.618221136321822]",0,0,True,1
output/hanoi_gr8/,0.7,KL2,"[0.5176909329161403, 0.8157839084543063, 6.459624388547372, 6.617858612722619]",0,0,True,1
output/hanoi_gr8/,1.0,MaxUtil,"[-1.6666648770969585, -0.3945064713237342, -2.9323402072054463e-06, -4.261660769319597e-06]",0,0,True,1
output/hanoi_gr8/,1.0,DP,"[-15, -12, 0, 0]",0,0,True,1
output/hanoi_gr8/,1.0,KL,"[0.5186674945593791, 0.7372783229572021, 12.269116156867108, 9.209533268693503]",0,0,True,1
output/hanoi_gr8/,1.0,KL2,"[0.5185539569428622, 0.7371554723389746, 4.907408377072205, 9.209065052016483]",0,0,True,1
output/hanoi_gr9/,0.1,MaxUtil,"[-1.0040959999999994, -1.890376351617346e-15, -0.16408025434475115, -6.162240977127223e-20]",0,0,True,1
output/hanoi_gr9/,0.1,DP,"[-2, 0, -2, 0]",0,2,False,0
output/hanoi_gr9/,0.1,KL,"[0.6415405958975509, 21.279301517656094, 0.7406301611514494, 35.23743763130888]",0,0,True,1
output/hanoi_gr9/,0.1,KL2,"[0.6414205291998609, 10.639170947767205, 0.7405055877148421, 17.617953399230796]",0,0,True,1
output/hanoi_gr9/,0.3,MaxUtil,"[-1.2257432575999991, -7.753529103280205e-08, -0.2897275119446881, -2.6978757497937624e-08]",0,0,True,1
output/hanoi_gr9/,0.3,DP,"[-5, 0, -3, 0]",0,0,True,1
output/hanoi_gr9/,0.3,KL,"[0.5451406157285151, 8.772207152760817, 0.8491620610761836, 8.555690245084097]",0,0,True,1
output/hanoi_gr9/,0.3,KL2,"[0.5450248373878039, 3.5087005311203554, 0.8490333758438968, 3.4220974413377427]",0,0,True,1
output/hanoi_gr9/,0.5,MaxUtil,"[-1.186641823170559, -2.248412496491368e-06, -0.2506260775152482, -2.174600083295786e-06]",0,0,True,1
output/hanoi_gr9/,0.5,DP,"[-8, 0, -6, 0]",0,0,True,1
output/hanoi_gr9/,0.5,KL,"[0.5919037577914774, 3.8465941022511503, 0.7819171612611007, 3.8205236070407453]",0,0,True,1
output/hanoi_gr9/,0.5,KL2,"[0.5917878924403219, 2.4039625293107996, 0.781793229102705, 2.387671520474866]",0,0,True,1
output/hanoi_gr9/,0.7,MaxUtil,"[-1.6522842497023986, -2.248409419099946e-06, -0.38023599636929134, -2.174591091515008e-06]",0,0,True,1
output/hanoi_gr9/,0.7,DP,"[-11, 0, -8, 0]",0,0,True,1
output/hanoi_gr9/,0.7,KL,"[0.5319959043297634, 5.4322448047291845, 0.8310926395700128, 5.178465267782676]",0,0,True,1
output/hanoi_gr9/,0.7,KL2,"[0.5318807107330653, 2.9628670822241303, 0.8309647028932791, 2.824449269085004]",0,0,True,1
output/hanoi_gr9/,1.0,MaxUtil,"[-1.6666648770969585, -3.6596570487652904e-06, -0.3946166237638513, -3.592682604428389e-06]",0,0,True,1
output/hanoi_gr9/,1.0,DP,"[-15, 0, -12, 0]",0,0,True,1
output/hanoi_gr9/,1.0,KL,"[0.5186669108461904, 6.585575841457457, 0.7380045167125665, 7.963279496757194]",0,0,True,1
output/hanoi_gr9/,1.0,KL2,"[0.5185533732548878, 3.9511246494773222, 0.7378816341959037, 4.777714111678366]",0,0,True,1
output/hanoi_gr10/,0.1,MaxUtil,"[-0.4102399999999996, -0.0001406228910861961, -7.101662140726759e-07, -0.02625535999999995]",0,0,True,1
output/hanoi_gr10/,0.1,DP,"[-2, 0, 0, -2]",0,3,False,0
output/hanoi_gr10/,0.1,KL,"[0.6415460290875232, 9.478136781413493, 2.5026247189783764, 0.6415460290875235]",0,0,True,1
output/hanoi_gr10/,0.1,KL2,"[0.6414259621554602, 9.477657119770429, 2.5024264733008543, 0.6414259621554604]",0,0,True,1
output/hanoi_gr10/,0.3,MaxUtil,"[-1.2240419430399991, -0.06400040094827426, -1.189862714721175e-06, -0.07833868435455985]",0,0,True,1
output/hanoi_gr10/,0.3,DP,"[-4, 0, 0, -4]",0,3,False,0
output/hanoi_gr10/,0.3,KL,"[0.4820121788563055, 6.969338768224457, 3.9478840732050564, 0.4820121788563054]",0,3,False,0
output/hanoi_gr10/,0.3,KL2,"[0.48190319527983705, 6.96896283725207, 3.9476307794920826, 0.481903195279837]",0,3,False,0
output/hanoi_gr10/,0.5,MaxUtil,"[-1.6512383999999987, -0.008060944225702693, -1.1926021743734914e-06, -0.1056792575999998]",0,0,True,1
output/hanoi_gr10/,0.5,DP,"[-6, 0, 0, -6]",0,3,False,0
output/hanoi_gr10/,0.5,KL,"[0.5210419793356259, 8.252657607561508, 3.833470727721741, 0.5210419793356261]",0,0,True,1
output/hanoi_gr10/,0.5,KL2,"[0.5209272730255509, 8.25222565930771, 3.833217804808712, 0.5209272730255508]",0,3,False,0
output/hanoi_gr10/,0.7,MaxUtil,"[-1.6403414015999989, -0.1375537194825329, -4.463823362819066e-06, -0.1049818497023998]",0,0,True,1
output/hanoi_gr10/,0.7,DP,"[-9, 0, 0, -9]",0,3,False,0
output/hanoi_gr10/,0.7,KL,"[0.5344313181969479, 6.356273983722063, 3.145572762232335, 0.5344313181969448]",0,3,False,0
output/hanoi_gr10/,0.7,KL2,"[0.5343160162622075, 6.355919144305581, 3.1453479579738315, 0.5343160162622043]",0,3,False,0
output/hanoi_gr10/,1.0,MaxUtil,"[-1.6666387046399986, -0.22686873061164756, -6.677833234066658e-06, -0.10666487709695979]",0,0,True,1
output/hanoi_gr10/,1.0,DP,"[-12, 0, 0, -12]",0,3,False,0
output/hanoi_gr10/,1.0,KL,"[0.508032045842519, 5.758177356849429, 3.035946440580172, 0.5080320458425168]",0,3,False,0
output/hanoi_gr10/,1.0,KL2,"[0.5079192471103128, 5.7578480255813185, 3.0357275330718814, 0.5079192471103106]",0,3,False,0
