problem,obs,metric,scores,real_goal,pred_goal,correct
output/hanoi_gr5/,0.3,KL2,"[(0, 0.7102656266212667), (2, 2.931968685877321), (1, 3.0712260970657614), (3, 3.2064206273362514)]",0,0,True
output/hanoi_gr5/,0.5,MaxUtil,"[(0, -1.0399359999999993), (3, -0.04001026119996644), (2, -0.01762142235319828), (1, -0.01645574001217092)]",0,0,True
output/hanoi_gr5/,0.5,DP,"[(0, -4), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr5/,0.5,KL,"[(0, 0.6329067188707798), (2, 3.0204499077780147), (1, 3.124895800095482), (3, 3.2262946981862086)]",0,0,True
output/hanoi_gr5/,0.5,KL2,"[(0, 0.6328118954870121), (2, 3.0202837489681924), (1, 3.124726565513056), (3, 3.226122432573817)]",0,0,True
output/hanoi_gr5/,0.7,MaxUtil,"[(0, -0.6383359999999992), (3, -0.037874303241923125), (2, -0.022502659608438298), (1, -0.016782943697181144)]",0,0,True
output/hanoi_gr5/,0.7,DP,"[(0, -5), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr5/,0.7,KL,"[(0, 0.5382313413451504), (2, 2.585273066605056), (1, 3.036311837052149), (3, 3.624265201716047)]",0,0,True
output/hanoi_gr5/,0.7,KL2,"[(0, 0.5381396029678074), (2, 2.5851196762737465), (1, 3.0361450278621365), (3, 3.624081184317519)]",0,0,True
output/hanoi_gr5/,1.0,MaxUtil,"[(0, -1.6639359999999987), (3, -0.042044564456139084), (2, -0.025788085446071668), (1, -0.01890268410443218)]",0,0,True
output/hanoi_gr5/,1.0,DP,"[(0, -7), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr5/,1.0,KL,"[(0, 0.5677498233906424), (2, 2.6683382191679033), (1, 3.050192274727827), (3, 3.5281012087641708)]",0,0,True
output/hanoi_gr5/,1.0,KL2,"[(0, 0.5676571369367845), (2, 2.6681824089751878), (1, 3.050025122047656), (3, 3.5279200324888538)]",0,0,True
output/hanoi_gr6/,0.1,MaxUtil,"[(0, -1.0016383999999994), (2, -0.12973566582617843), (3, -1.2097143493697762e-09), (1, -0.0)]",0,0,True
output/hanoi_gr6/,0.1,DP,"[(0, -2), (2, -1), (1, 0), (3, 0)]",0,0,True
output/hanoi_gr6/,0.1,KL,"[(0, 0.5210418167224977), (1, nan), (2, 1.299547764643565), (3, 8.885241999600966)]",0,0,True
output/hanoi_gr6/,0.1,KL2,"[(1, 0.0), (0, 0.5209271104194092), (2, 1.299400418801199), (3, 4.442391556155542)]",0,1,False
output/hanoi_gr6/,0.3,MaxUtil,"[(0, -0.4647140802559995), (2, -0.2227035233838887), (3, -1.4000165022420215e-06), (1, -9.253182460410345e-07)]",0,0,True
output/hanoi_gr6/,0.3,DP,"[(0, -5), (2, -5), (1, 0), (3, 0)]",0,2,False
output/hanoi_gr6/,0.3,KL,"[(0, 0.49694115946078493), (2, 0.6715251605256365), (3, 3.3508690529345784), (1, 3.5729724750632554)]",0,0,True
output/hanoi_gr6/,0.3,KL2,"[(0, 0.4968275252755346), (2, 0.6714039174045896), (1, 1.4290919949475556), (3, 2.010381503241718)]",0,0,True
output/hanoi_gr6/,0.5,MaxUtil,"[(0, -1.0749634754969593), (2, -0.2030607413231383), (3, -3.546089101247849e-06), (1, -3.0375234537253003e-06)]",0,0,True
output/hanoi_gr6/,0.5,DP,"[(0, -8), (2, -7), (1, 0), (3, 0)]",0,0,True
output/hanoi_gr6/,0.5,KL,"[(0, 0.5015270301431203), (2, 0.6961535235418621), (1, 2.790184450679801), (3, 6.041775981983072)]",0,0,True
output/hanoi_gr6/,0.5,KL2,"[(0, 0.5014151852019602), (2, 0.6960335187156026), (1, 1.3949892012537437), (3, 4.531076768287605)]",0,0,True
output/hanoi_gr6/,0.7,MaxUtil,"[(0, -0.6659608631705591), (2, -0.32795030604382824), (3, -2.4385486848673736e-06), (1, -1.8756404454261992e-06)]",0,0,True
output/hanoi_gr6/,0.7,DP,"[(0, -11), (2, -9), (1, 0), (3, 0)]",0,0,True
output/hanoi_gr6/,0.7,KL,"[(0, 0.5178042279658295), (2, 0.7173358790622263), (1, 4.345995970494952), (3, 7.350109931953051)]",0,0,True
output/hanoi_gr6/,0.7,KL2,"[(0, 0.5176911153209635), (2, 0.7172142604481224), (1, 1.185195387466822), (3, 4.677090558576958)]",0,0,True
output/hanoi_gr6/,1.0,MaxUtil,"[(0, -1.6666648770969585), (2, -0.4567515857964066), (3, -3.906020722877246e-06), (1, -3.039037776664055e-06)]",0,0,True
output/hanoi_gr6/,1.0,DP,"[(0, -15), (2, -12), (1, 0), (3, 0)]",0,0,True
output/hanoi_gr6/,1.0,KL,"[(0, 0.5186676054679557), (2, 0.7687916100937285), (1, 3.989957147556852), (3, 6.143696584018664)]",0,0,True
output/hanoi_gr6/,1.0,KL2,"[(0, 0.5185540678466868), (2, 0.7686674828230798), (1, 1.3298981133982337), (3, 4.095566370970458)]",0,0,True
output/hanoi_gr7/,0.1,MaxUtil,"[(0, -1.1599999999999993), (3, -0.20864632145212358), (1, -0.0), (2, -0.0)]",0,0,True
output/hanoi_gr7/,0.1,DP,"[(0, -2), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr7/,0.1,KL,"[(0, 0.6415460050253642), (1, nan), (2, nan), (3, 2.0149024294068227)]",0,0,True
output/hanoi_gr7/,0.1,KL2,"[(2, -9.965784284662086e-06), (1, 0.0), (0, 0.6414259380943441), (3, 2.0147247222917417)]",0,2,False
output/hanoi_gr7/,0.3,MaxUtil,"[(0, -0.07835546157055985), (3, -0.07835546157055985), (1, -2.123343069271376e-06), (2, -2.1117017320012883e-06)]",0,3,False
output/hanoi_gr7/,0.3,DP,"[(0, -5), (3, -5), (1, 0), (2, 0)]",0,3,False
output/hanoi_gr7/,0.3,KL,"[(3, 0.5139189486449678), (0, 0.5139189488715192), (1, 1.9965845724534086), (2, 19.95648971537937)]",0,3,False
output/hanoi_gr7/,0.3,KL2,"[(3, 0.5138077483973917), (0, 0.5138077486239333), (1, 0.7985621826956437), (2, 19.95558160777559)]",0,3,False
output/hanoi_gr7/,0.5,MaxUtil,"[(0, -1.1043097124863992), (3, -0.24895603393892782), (2, -1.1937605437728176e-06), (1, -1.1358576321933944e-06)]",0,0,True
output/hanoi_gr7/,0.5,DP,"[(0, -8), (3, -7), (1, 0), (2, 0)]",0,0,True
output/hanoi_gr7/,0.5,KL,"[(0, 0.521041973284122), (3, 0.6991400672565646), (1, 4.576796088968941), (2, 16.720584440479126)]",0,0,True
output/hanoi_gr7/,0.5,KL2,"[(0, 0.5209272669743091), (3, 0.6990178910232472), (1, 1.7161896692874814), (2, 14.62983032228199)]",0,0,True
