problem,obs,metric,scores,real_goal,pred_goal,correct,correct_num
output/blocks_gr7/,0.7,KL,"[0.8223770965688844, 8.226330120091072, 4.1617716123464925, 8.216478696878001]",0,0,True,1
output/blocks_gr7/,0.7,KL2,"[0.8222100119263865, 6.854845169779387, 4.161458232817664, 4.107976563376396]",0,0,True,1
output/blocks_gr7/,1.0,MaxUtil,"[-1.6655733841064118, -0.09027546653800138, -0.00010281827150807717, -4.834299387729605e-05]",0,0,True,1
output/blocks_gr7/,1.0,DP,"[-8, 0, 0, 0]",0,0,True,1
output/blocks_gr7/,1.0,KL,"[0.7964993280261621, 7.934784712276289, 4.236189680585511, 8.638794429737818]",0,0,True,1
output/blocks_gr7/,1.0,KL2,"[0.796336084927175, 6.942500832673803, 4.235878418144132, 4.319129203134419]",0,0,True,1
output/blocks_gr8/,0.1,MaxUtil,"[-0.06399999999999988, -0.0, -0.010239999999579303, -1.2305712817082435e-12]",0,0,True,1
output/blocks_gr8/,0.1,DP,"[-1, 0, 0, 0]",0,0,True,1
output/blocks_gr8/,0.1,KL,"[0.400537929336001, nan, 3.0443941194103474, 11.070044249724123]",0,0,True,1
output/blocks_gr8/,0.1,KL2,"[0.40041752463098373, -1.9931568569324173e-05, 3.044146809608205, 11.06944185275261]",0,1,False,0
output/blocks_gr8/,0.3,MaxUtil,"[-0.5855999999999993, -3.015433332038045e-13, -0.031105465914892917, -5.845586950194375e-11]",0,0,True,1
output/blocks_gr8/,0.3,DP,"[-3, 0, -1, 0]",0,0,True,1
output/blocks_gr8/,0.3,KL,"[0.3934199697360759, 28.409024509336, 2.218394634726429, 10.59296149978434]",0,0,True,1
output/blocks_gr8/,0.3,KL2,"[0.39330000249669955, 9.4692035264388, 2.2181871224443745, 3.5307717933799694]",0,0,True,1
output/blocks_gr8/,0.5,MaxUtil,"[-1.0319897599999994, -0.026885401289385952, -0.03235000052845252, -2.0809250288000286e-05]",0,0,True,1
output/blocks_gr8/,0.5,DP,"[-5, 0, -4, 0]",0,0,True,1
output/blocks_gr8/,0.5,KL,"[0.6107597286992494, 10.67825194355903, 1.2850755924478996, 6.008671186206898]",0,0,True,1
output/blocks_gr8/,0.5,KL2,"[0.6106068134315872, 8.542102047427601, 1.284890438111907, 4.806605372187258]",0,0,True,1
output/blocks_gr8/,0.7,MaxUtil,"[-0.5922519039999994, -0.09088540036205182, -0.0377573699148929, -6.275229028571152e-05]",0,0,True,1
output/blocks_gr8/,0.7,DP,"[-7, 0, -5, 0]",0,0,True,1
output/blocks_gr8/,0.7,KL,"[0.6144550381846342, 9.24097216859494, 1.3966511417925684, 5.505307567782454]",0,0,True,1
output/blocks_gr8/,0.7,KL2,"[0.6143014982709014, 6.600292363039377, 1.3964600791607868, 3.932074761040204]",0,0,True,1
output/blocks_gr8/,1.0,MaxUtil,"[-1.6664919039999986, -0.0908873319953223, -0.05859761044292477, -6.275813863646979e-05]",0,0,True,1
output/blocks_gr8/,1.0,DP,"[-10, 0, -6, 0]",0,0,True,1
output/blocks_gr8/,1.0,KL,"[0.5481445009253628, 9.427503167001309, 1.6972479680500228, 6.699061149380193]",0,0,True,1
output/blocks_gr8/,1.0,KL2,"[0.5480010328148277, 5.656158748478845, 1.6970494227866648, 4.689032672202394]",0,0,True,1
output/blocks_gr9/,0.1,MaxUtil,"[-0.06399213699388909, -1.8650734361668566e-07, 0, -9.79994076772425e-05]",0,0,True,1
output/blocks_gr9/,0.1,DP,"[-1, 0, 0, 0]",0,0,True,1
output/blocks_gr9/,0.1,KL,"[0.2046193133197818, 4.280870977929177, nan, 4.11821990424401]",0,0,True,1
output/blocks_gr9/,0.1,KL2,"[0.20454629274983518, 4.280656522144046, 5.128556292816107, 4.118010987963317]",0,0,True,1
output/blocks_gr9/,0.3,MaxUtil,"[-0.40573433870764763, -0.0003959371758989706, -0.26541806036069626, -0.014336052329238015]",0,0,True,1
output/blocks_gr9/,0.3,DP,"[-3, -1, -2, -1]",0,0,True,1
output/blocks_gr9/,0.3,KL,"[0.6918056131500437, 1.6620242724326504, 1.507865184175721, 4.929732727723903]",0,0,True,1
output/blocks_gr9/,0.3,KL2,"[0.6916933986490701, 1.6618795989606738, 1.5077247662733326, 4.92947474290015]",0,0,True,1
output/blocks_gr9/,0.5,MaxUtil,"[-1.2341824452307908, -0.00030833641412203255, -0.5347836788825607, -0.0017396353217375953]",0,0,True,1
output/blocks_gr9/,0.5,DP,"[-4, 0, -1, 0]",0,0,True,1
output/blocks_gr9/,0.5,KL,"[0.528897316351054, 2.306741390391836, 2.9364627273485446, 6.968500636295362]",0,0,True,1
output/blocks_gr9/,0.5,KL2,"[0.5288003995092636, 2.30658660890852, 3.484348388724933, 6.968186890681449]",0,0,True,1
output/blocks_gr9/,0.7,MaxUtil,"[-1.6297258797436798, -0.0006913798813243269, -0.40020173924325747, -0.014437426197448457]",0,0,True,1
output/blocks_gr9/,0.7,DP,"[-6, -1, -2, -1]",0,0,True,1
output/blocks_gr9/,0.7,KL,"[0.512718069887188, 1.5589317969449237, 2.5864891609978136, 6.603118596246456]",0,0,True,1
output/blocks_gr9/,0.7,KL2,"[0.512617676982915, 1.5587982272588052, 3.0100210612620018, 6.602811937023162]",0,0,True,1
output/blocks_gr9/,1.0,MaxUtil,"[-1.6654799970136507, -0.0007043922523862373, -1.8002017392432565, -0.016674206929654545]",0,2,False,0
output/blocks_gr9/,1.0,DP,"[-8, -1, -4, -1]",0,0,True,1
output/blocks_gr9/,1.0,KL,"[0.5694319873881544, 2.9218168610336326, 1.9619316663080677, 5.726919810585786]",0,0,True,1
output/blocks_gr9/,1.0,KL2,"[0.5693295785035003, 2.921635972314959, 2.3576261674834247, 5.726642115580901]",0,0,True,1
output/blocks_gr10/,0.1,MaxUtil,"[-0.39999999999999963, -0.0002613867885283597, -2.113692314133547e-12, -0.0010251389655659465]",0,0,True,1
output/blocks_gr10/,0.1,DP,"[-1, 0, 0, 0]",0,0,True,1
output/blocks_gr10/,0.1,KL,"[0.21412480535284734, 2.861578789752867, 14.002293031869893, 3.4174972866064195]",0,0,True,1
output/blocks_gr10/,0.1,KL2,"[0.21405140072438822, 2.861412727257933, 14.001747971628655, 3.417312251097386]",0,0,True,1
output/blocks_gr10/,0.3,MaxUtil,"[-0.42723839999999663, -0.0009586869285829701, -1.615777650710464e-05, -0.028263513231026407]",0,0,True,1
output/blocks_gr10/,0.3,DP,"[-3, 0, 0, 0]",0,0,True,1
output/blocks_gr10/,0.3,KL,"[0.5752313490766459, 2.0992241156768987, 6.014087109225437, 2.2842687632492162]",0,0,True,1
output/blocks_gr10/,0.3,KL2,"[0.5751341253616752, 2.0990737397816424, 6.013804512956451, 2.284112073624741]",0,0,True,1
output/blocks_gr10/,0.5,MaxUtil,"[-1.465638399999996, -0.00204086676621963, -7.043199930479964e-06, -0.013112448352978517]",0,0,True,1
output/blocks_gr10/,0.5,DP,"[-4, 0, 0, 0]",0,0,True,1
output/blocks_gr10/,0.5,KL,"[0.4849547131694849, 2.3084553422159724, 11.480218972893747, 3.380080821327183]",0,0,True,1
output/blocks_gr10/,0.5,KL2,"[0.48486344422614114, 2.3083003945643785, 11.479751538444823, 3.3798887315401442]",0,0,True,1
output/blocks_gr10/,0.7,MaxUtil,"[-1.6383359999999987, -0.0030212117905319908, -5.007184853786339e-06, -0.029434984404596215]",0,0,True,1
output/blocks_gr10/,0.7,DP,"[-6, -3, 0, -2]",0,0,True,1
output/blocks_gr10/,0.7,KL,"[0.30733128045360947, 1.7597548639619305, 10.293282536510338, 2.4969650510640764]",0,0,True,1
output/blocks_gr10/,0.7,KL2,"[0.3072463564248778, 1.7596190310932247, 10.292855393966237, 2.4968036948370482]",0,0,True,1
output/blocks_gr10/,1.0,MaxUtil,"[-1.6655743999999957, -0.0037185119305866007, -2.1164959247198667e-05, -0.05667335867005668]",0,0,True,1
output/blocks_gr10/,1.0,DP,"[-8, 0, 0, 0]",0,0,True,1
output/blocks_gr10/,1.0,KL,"[0.41944461557484336, 1.7493278426311765, 8.224957939358555, 2.302137413690711]",0,0,True,1
output/blocks_gr10/,1.0,KL2,"[0.4193536392387379, 1.7491903348307924, 8.224599741379766, 2.3019807673498907]",0,0,True,1
